InfoSet,Action,Probability
33|2-6|2,Challenge,0.1134403
33|2-6|2,3-1,0.081454314
33|2-6|2,3-2,0.076567784
33|2-6|2,3-3,0.077060245
33|2-6|2,3-4,0.09526761
33|2-6|2,3-5,0.074677244
33|2-6|2,3-6,0.07419113
33|2-6|2,4-1,0.07015533
33|2-6|2,4-2,0.06927429
33|2-6|2,4-3,0.06990461
33|2-6|2,4-4,0.0660972
33|2-6|2,4-5,0.06556172
33|2-6|2,4-6,0.06634828
46|4-4|1,Challenge,0.9864387
46|4-4|1,4-5,0.007370283
46|4-4|1,4-6,0.0061910376
16|1-5|1,Challenge,0.058426928
16|1-5|1,1-6,0.059854113
16|1-5|1,2-1,0.054820158
16|1-5|1,2-2,0.056325354
16|1-5|1,2-3,0.050168026
16|1-5|1,2-4,0.049385495
16|1-5|1,2-5,0.058270723
16|1-5|1,2-6,0.05607438
16|1-5|1,3-1,0.052567918
16|1-5|1,3-2,0.05894843
16|1-5|1,3-3,0.04774461
16|1-5|1,3-4,0.048002377
16|1-5|1,3-5,0.0465412
16|1-5|1,3-6,0.046234127
16|1-5|1,4-1,0.049333278
16|1-5|1,4-2,0.04280185
16|1-5|1,4-3,0.040892366
16|1-5|1,4-4,0.040571596
16|1-5|1,4-5,0.041810766
16|1-5|1,4-6,0.041226428
33|2-2|2,Challenge,0.06745784
33|2-2|2,2-3,0.059566006
33|2-2|2,2-4,0.060903873
33|2-2|2,2-5,0.0613597
33|2-2|2,2-6,0.05673681
33|2-2|2,3-1,0.05772242
33|2-2|2,3-2,0.07005083
33|2-2|2,3-3,0.060836412
33|2-2|2,3-4,0.062284704
33|2-2|2,3-5,0.05385858
33|2-2|2,3-6,0.06715888
33|2-2|2,4-1,0.05674389
33|2-2|2,4-2,0.054685578
33|2-2|2,4-3,0.05253433
33|2-2|2,4-4,0.049500678
33|2-2|2,4-5,0.0553506
33|2-2|2,4-6,0.053248934
16|2-2|1,Challenge,0.23135608
16|2-2|1,2-3,0.056078
16|2-2|1,2-4,0.049466137
16|2-2|1,2-5,0.058780782
16|2-2|1,2-6,0.05699984
16|2-2|1,3-1,0.0507825
16|2-2|1,3-2,0.04919224
16|2-2|1,3-3,0.049279574
16|2-2|1,3-4,0.048313074
16|2-2|1,3-5,0.04964983
16|2-2|1,3-6,0.045530904
16|2-2|1,4-1,0.046316188
16|2-2|1,4-2,0.043658074
16|2-2|1,4-3,0.041825026
16|2-2|1,4-4,0.043612305
16|2-2|1,4-5,0.040087886
16|2-2|1,4-6,0.039071467
44|3-5|4,Challenge,0.3929091
44|3-5|4,3-6,0.09822058
44|3-5|4,4-1,0.0830214
44|3-5|4,4-2,0.089599684
44|3-5|4,4-3,0.08854025
44|3-5|4,4-4,0.07871775
44|3-5|4,4-5,0.08220251
44|3-5|4,4-6,0.08678862
25|1-5|2,Challenge,0.040242106
25|1-5|2,1-6,0.056429174
25|1-5|2,2-1,0.050164476
25|1-5|2,2-2,0.05861968
25|1-5|2,2-3,0.05633829
25|1-5|2,2-4,0.06690568
25|1-5|2,2-5,0.04842286
25|1-5|2,2-6,0.048610423
25|1-5|2,3-1,0.051530577
25|1-5|2,3-2,0.05307816
25|1-5|2,3-3,0.059833534
25|1-5|2,3-4,0.052485425
25|1-5|2,3-5,0.047219757
25|1-5|2,3-6,0.048870794
25|1-5|2,4-1,0.050181836
25|1-5|2,4-2,0.04174076
25|1-5|2,4-3,0.041330624
25|1-5|2,4-4,0.04378288
25|1-5|2,4-5,0.04440836
25|1-5|2,4-6,0.03980463
34|3-5|7,Challenge,0.125
34|3-5|7,3-6,0.125
34|3-5|7,4-1,0.125
34|3-5|7,4-2,0.125
34|3-5|7,4-3,0.125
34|3-5|7,4-4,0.125
34|3-5|7,4-5,0.125
34|3-5|7,4-6,0.125
56|4-5|10,Challenge,0.5
56|4-5|10,4-6,0.5
13|3-5|2,Challenge,0.6226083
13|3-5|2,3-6,0.070132904
13|3-5|2,4-1,0.056939036
13|3-5|2,4-2,0.053571574
13|3-5|2,4-3,0.052178547
13|3-5|2,4-4,0.049075697
13|3-5|2,4-5,0.050451975
13|3-5|2,4-6,0.045042053
12|4-3|5,Challenge,0.77786887
12|4-3|5,4-4,0.071539156
12|4-3|5,4-5,0.07053735
12|4-3|5,4-6,0.08005464
56|3-5|6,Challenge,0.125
56|3-5|6,3-6,0.125
56|3-5|6,4-1,0.125
56|3-5|6,4-2,0.125
56|3-5|6,4-3,0.125
56|3-5|6,4-4,0.125
56|3-5|6,4-5,0.125
56|3-5|6,4-6,0.125
33|2-3|5,Challenge,0.0625
33|2-3|5,2-4,0.0625
33|2-3|5,2-5,0.0625
33|2-3|5,2-6,0.0625
33|2-3|5,3-1,0.0625
33|2-3|5,3-2,0.0625
33|2-3|5,3-3,0.0625
33|2-3|5,3-4,0.0625
33|2-3|5,3-5,0.0625
33|2-3|5,3-6,0.0625
33|2-3|5,4-1,0.0625
33|2-3|5,4-2,0.0625
33|2-3|5,4-3,0.0625
33|2-3|5,4-4,0.0625
33|2-3|5,4-5,0.0625
33|2-3|5,4-6,0.0625
55|3-5|2,Challenge,0.14889023
55|3-5|2,3-6,0.13550726
55|3-5|2,4-1,0.13076074
55|3-5|2,4-2,0.12444675
55|3-5|2,4-3,0.11360721
55|3-5|2,4-4,0.11443589
55|3-5|2,4-5,0.118522935
55|3-5|2,4-6,0.113829
45|4-4|5,Challenge,0.84854496
45|4-4|5,4-5,0.07738095
45|4-4|5,4-6,0.074074075
12|None|0,1-1,0.04532545
12|None|0,1-2,0.047860578
12|None|0,1-3,0.049264573
12|None|0,1-4,0.0503531
12|None|0,1-5,0.047107194
12|None|0,1-6,0.04667947
12|None|0,2-1,0.045176897
12|None|0,2-2,0.04490124
12|None|0,2-3,0.045061868
12|None|0,2-4,0.04952436
12|None|0,2-5,0.048113026
12|None|0,2-6,0.053681456
12|None|0,3-1,0.043044534
12|None|0,3-2,0.04055963
12|None|0,3-3,0.040535245
12|None|0,3-4,0.0413313
12|None|0,3-5,0.039662674
12|None|0,3-6,0.037303716
12|None|0,4-1,0.033693302
12|None|0,4-2,0.032380152
12|None|0,4-3,0.030886069
12|None|0,4-4,0.029465534
12|None|0,4-5,0.029022798
12|None|0,4-6,0.029065996
24|3-4|5,Challenge,0.1888889
24|3-4|5,3-5,0.09972223
24|3-4|5,3-6,0.09722223
24|3-4|5,4-1,0.1088889
24|3-4|5,4-2,0.1088889
24|3-4|5,4-3,0.1038889
24|3-4|5,4-4,0.1088889
24|3-4|5,4-5,0.09388889
24|3-4|5,4-6,0.08972223
44|2-3|3,Challenge,0.2383929
44|2-3|3,2-4,0.040949292
44|2-3|3,2-5,0.06802256
44|2-3|3,2-6,0.042791076
44|2-3|3,3-1,0.045800336
44|2-3|3,3-2,0.0462633
44|2-3|3,3-3,0.04490687
44|2-3|3,3-4,0.04718922
44|2-3|3,3-5,0.04718922
44|2-3|3,3-6,0.044433847
44|2-3|3,4-1,0.06732811
44|2-3|3,4-2,0.065939225
44|2-3|3,4-3,0.04718922
44|2-3|3,4-4,0.06802256
44|2-3|3,4-5,0.045568854
44|2-3|3,4-6,0.0400133
